label,mfcc_mean_0,mfcc_std_0,mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13,mfcc_mean_14,mfcc_std_14,mfcc_mean_15,mfcc_std_15,mfcc_mean_16,mfcc_std_16,mfcc_mean_17,mfcc_std_17,mfcc_mean_18,mfcc_std_18,mfcc_mean_19,mfcc_std_19
Pathology,-673.1008847151536,38.838044001023,200.00965205685446,18.85288132680224,-76.10267713293506,22.15703158079128,-17.241365657013464,14.000467236761475,-37.04007605066616,8.738672411421792,21.675467959930817,9.7528736352373,-30.57528582845131,10.151703120923196,-17.550433483133155,10.398322563254736,-24.12960952084844,6.961263234933824,-13.642563054218732,3.521694419524337,-3.2775047581914247,6.080962736354538,-10.018232847275563,6.761987018015241,-10.154253041480114,3.2361875127501647,-21.442551607428513,5.757509658852919,-5.354793645414564,3.7476219611675945,-10.184984626755055,3.0368274067045933,-10.050401298940402,2.8548840274223144,-15.869596427806549,2.4414532683955468,-10.499755519312501,3.6717275710714063,-10.585346722007323,2.8260113620133795
Pathology,-515.3213339779942,31.321202683783728,220.36597064920474,22.052500757628316,-28.819150377905533,20.665110532724476,-75.95630563803404,14.59030177081284,-22.89253919594639,9.106366246782168,-22.53058210533228,10.444451947176512,-37.05510568263736,9.330056423129298,-24.599977307930796,8.689084370567427,-18.677479425448578,7.689344881526659,-16.44489526423637,7.557212881066825,-5.123066628414622,6.434772587426092,-2.016004531936262,7.503497108024286,-5.813811157568327,6.2582395225876635,-5.19588900953943,3.9767303416719293,-3.974418499839718,2.615581147171191,-4.510262660081636,3.2803671040809417,-4.412221190916615,4.384866792060182,-6.40685501088736,5.046923398191202,-7.537462380620521,4.909506140782887,-4.766845745860333,5.036232276124444
Pathology,-688.433427545053,42.21732638172177,194.53154083729578,23.813461170352245,-47.49491629261355,20.281106228829792,-12.53824881479416,20.1212880804947,-25.43568071564122,12.799873269965847,23.576022409076728,6.4539696174367505,-22.351623648443415,7.074702816553822,-12.19256465475527,4.687766531901902,-11.471634655676244,4.814787901237712,-10.24547383853737,4.763632233642773,-2.8373272342757896,2.57893305719833,-17.68945378193721,3.8593519726060745,-11.988158400657953,4.706965845077653,-19.514297297522088,3.9857572864976,-12.464523991380569,3.3852786678159497,-19.478336357378918,5.010311237794103,-17.474196258735,5.1548453668363186,-17.87886980650381,4.395337877630134,-16.56099776448657,3.9923991398966634,-14.317768703733524,3.39874524523055
Pathology,-595.1410059400644,40.99454274263145,210.25639077204943,23.383569864086617,-44.10076124782082,18.855482941936728,-65.76273029289327,15.024049897029554,-31.523395715975195,8.8096458720864,-15.23044353677696,9.631561016995954,-23.899247514327012,10.373173978313538,-19.444899771953214,8.361083686210103,-11.591952309397666,5.614950473488624,-16.346054816333606,4.499364760498941,-5.987687408670488,7.316718036513929,-3.9263857311763073,7.112745828003895,-8.523755344134758,6.764112252030394,-11.272423363678264,4.181866771018128,-8.444916232160228,3.156943658979825,-7.493314521561944,3.4537791632091235,-14.04172309529866,3.880212179645616,-11.436074026156431,4.870212338709266,-10.161808449049254,4.804368145383299,-9.644709204072567,3.1997059381321327
Pathology,-570.7867607541236,57.20378734329505,237.71682749886062,31.920998977151214,-40.767765784389184,25.40405788854203,-27.83155593843444,15.884913429201177,9.33377966776564,10.948959059656826,3.7305963145978134,11.921225885751358,-15.462093493669155,9.575879616242966,-10.063901156383627,4.435238188136096,-9.222884065241185,5.2242140197417495,-14.268354924751044,5.980024641024261,-6.153897767189844,7.19832241564622,-16.770074294366886,8.341092257110523,-18.133722473020388,6.365348916572726,-15.517346941840245,4.82341851056157,-16.10121239499145,7.389504613049266,-15.12163625816911,4.993608649232181,-16.889510563980316,4.348497791399485,-13.201755360790484,3.6977003703112716,-13.391432469121565,2.6850387375648266,-11.9586677774109,2.767642399557611
Pathology,-645.1746434151545,50.58278798372432,201.47006533042645,25.230291069976044,-38.385745433153325,29.007400109949085,-36.08068817487303,20.78791188058327,-14.383926838359711,8.138347466040608,12.662056594717766,11.317509536025904,-15.634858014431725,14.055395978102137,-14.71896847001428,6.786745738662052,-5.998206028544029,4.874300306105251,-11.483835787052199,5.37912739233648,3.4244667636059702,6.008545407187807,-2.9934874878822395,7.298871853306167,-5.625698561635047,7.676328219968935,-8.65251805788918,5.134707982191609,-4.492007742172442,3.6903554139881587,-6.563096475526842,3.4785120207574227,-14.937910786196442,4.141676460206554,-12.94756638513354,5.11955675841298,-13.342259739562452,5.675053282023867,-9.74038061574218,4.603934067269965
Pathology,-590.5744755103196,57.16448414198519,235.64909567455,35.20929826679785,-30.294888733546404,24.39580977311919,-32.68783224650778,21.091957152769336,5.6189333566940975,7.932145782990688,10.68226868841301,9.030113591781376,-11.836792716775161,10.163887493375016,-3.1777899626864117,2.9527861210165676,2.969674552107188,4.341928467822625,-10.623437868513653,5.593046306194223,-6.428689644247588,4.382556618270275,-13.15336385338219,4.2861583185901395,-15.809067919532826,4.804562080096103,-16.19706977866791,3.1505311093262702,-16.86223537171,4.172838560790765,-16.87613784398258,4.104742996635584,-19.829307075252174,2.927566045076454,-15.24964259917755,4.023798491281121,-13.703689434944883,2.5975398591254004,-11.363072216032469,2.4619426644768896
Pathology,-640.6398573425436,49.17619273168187,224.6996041084843,23.170697430257597,-57.69618845876429,27.683689508087046,-19.83135378651513,15.028665250109466,-17.795269672835804,9.853291259017295,22.793330564356104,10.666175674539149,-17.49775079280065,6.475217661836827,-5.668053419085884,8.328965101075863,-11.000242585838503,4.209392439036157,-15.829586406643115,7.095331370663958,-0.6778390258803092,4.216471200410996,-10.270272651054578,4.1014803933220065,-7.313362530044694,3.8432930254408193,-16.409972793551656,4.216407890458229,-7.049099793685579,6.278564281436528,-12.501918685336124,3.5252386357558825,-13.012374036278148,3.5610937433824277,-11.252467669693536,2.8576700195314015,-9.267932691621635,2.382874028157575,-6.438401387876759,3.896109676381897
Pathology,-650.3641937731645,41.85560459844826,200.09863628126934,22.634580907093124,-35.898740251557534,28.827353185483386,-2.019487443078795,12.680973342489962,5.629001807853118,12.495521624274541,8.244275591754135,10.667866823542386,-22.45248420702386,12.213507544608117,-11.9354528757367,9.11683995443682,-11.361133235350863,7.355108186060317,-21.0093639255737,6.5503727818532695,-7.671750722655206,3.772368227789488,-19.594184573234273,5.509957079553407,-17.477083143683007,3.8074061024218846,-18.23186907304118,3.3393595325070153,-15.847036987231311,3.211905283292351,-17.236609703748027,3.887978298655299,-17.929363861172643,2.854357131414115,-15.863107496669645,3.5643221511702894,-19.56861126052262,4.278217471744984,-14.646042578799259,3.3723765222608626
Pathology,-589.6188537771832,23.015157616732047,233.3533923840557,15.92978531114151,-107.93488984689246,14.820284811419231,-29.003915207903248,8.35856683497006,-29.420225144696587,5.5120036753934025,-4.215460443530557,10.573585693271005,-24.87315656894152,9.305426040523813,5.981139671422558,7.102268806711841,-19.69163605632412,5.732346070111523,-18.623771168170478,2.8619407297943247,2.7121638099616128,2.9897230687372134,-10.453526263776899,3.4215592262869765,-6.444584919511245,3.015962787367665,-18.3668496258943,3.632102857678606,-15.391073819133902,3.0813250281779494,-16.894536206161984,3.090890208917653,-9.069664237163096,3.1716720870133335,-11.956432736728969,2.710282300150343,-7.918701746052746,3.047106399203583,-5.919943649077445,2.8897863510462884
Pathology,-585.8112291904822,23.78545022271863,229.1438719799895,10.597565348187887,-73.00372394729749,17.50814046814702,-2.708646083293543,9.592147432123847,18.29652236948467,7.552495507205171,2.1844674360169334,5.876209202485014,-20.046206866453215,4.320513402507734,-2.6675158438831943,6.070949634311786,-7.366618234280507,4.062410891135613,-11.047813673825631,5.727343549909054,-0.4364032932205886,4.205406949323183,-18.185396795718862,5.048804851262622,-9.542375455508752,3.487331981021368,-12.291760460232505,3.3505724432475588,-14.0238449603135,3.069905879813992,-8.946865312747043,3.3206201807101348,-11.156401450902056,3.0402396456680014,-16.89878571787036,2.7014481122502065,-15.230825769211371,2.434579594711241,-8.024882434562775,2.2682568108089676
Pathology,-580.932550972236,42.20651675553172,219.99874606343678,23.481409475401158,-82.8028725983482,14.570818557772903,-36.24249179482997,17.26559427521453,-6.525296897127471,13.76919160731498,-1.975549886338998,8.89152190710931,-14.902731159321227,5.6680575041898615,-2.7634143802081437,5.260234069740411,-14.53744611569584,5.975612681438077,-19.153977078518857,5.996882731072429,0.4221590011770892,5.582259980203147,-14.917816269486494,4.519010877007693,-12.447699826281701,2.879466167814303,-11.073593088326293,4.139099640736352,-12.157594122870947,4.656736010500246,-11.264160381268587,3.160367000091461,-11.916217526706442,2.9902568766109363,-10.502287656806356,2.7338081595042407,-9.847031520868036,2.6215776618048503,-5.529061831806283,2.8569400771377866
