filename,label,label_text,source,modality,original_filename
train/HS_segmented/F_MSM_A_seg_0.wav,1,Pathology,HS,HS,HS/F_MSM_A.wav
train/HS_segmented/F_MSM_A_seg_1.wav,1,Pathology,HS,HS,HS/F_MSM_A.wav
train/HS_segmented/F_MSM_A_seg_2.wav,1,Pathology,HS,HS,HS/F_MSM_A.wav
train/HS_segmented/F_MSM_A_seg_3.wav,1,Pathology,HS,HS,HS/F_MSM_A.wav
train/HS_segmented/F_MSM_A_seg_4.wav,1,Pathology,HS,HS,HS/F_MSM_A.wav
train/HS_segmented/F_MSM_A_seg_5.wav,1,Pathology,HS,HS,HS/F_MSM_A.wav
train/HS_segmented/F_MSM_A_seg_6.wav,1,Pathology,HS,HS,HS/F_MSM_A.wav
train/HS_segmented/M_AVB_RC_seg_0.wav,1,Pathology,HS,HS,HS/M_AVB_RC.wav
train/HS_segmented/M_AVB_RC_seg_1.wav,1,Pathology,HS,HS,HS/M_AVB_RC.wav
train/HS_segmented/M_AVB_RC_seg_2.wav,1,Pathology,HS,HS,HS/M_AVB_RC.wav
train/HS_segmented/M_AVB_RC_seg_3.wav,1,Pathology,HS,HS,HS/M_AVB_RC.wav
train/HS_segmented/M_AVB_RC_seg_4.wav,1,Pathology,HS,HS,HS/M_AVB_RC.wav
train/HS_segmented/M_AVB_RC_seg_5.wav,1,Pathology,HS,HS,HS/M_AVB_RC.wav
train/HS_segmented/M_AVB_RC_seg_6.wav,1,Pathology,HS,HS,HS/M_AVB_RC.wav
train/HS_segmented/M_AVB_LLSB_seg_0.wav,1,Pathology,HS,HS,HS/M_AVB_LLSB.wav
train/HS_segmented/M_AVB_LLSB_seg_1.wav,1,Pathology,HS,HS,HS/M_AVB_LLSB.wav
train/HS_segmented/M_AVB_LLSB_seg_2.wav,1,Pathology,HS,HS,HS/M_AVB_LLSB.wav
train/HS_segmented/M_AVB_LLSB_seg_3.wav,1,Pathology,HS,HS,HS/M_AVB_LLSB.wav
train/HS_segmented/M_AVB_LLSB_seg_4.wav,1,Pathology,HS,HS,HS/M_AVB_LLSB.wav
train/HS_segmented/M_AVB_LLSB_seg_5.wav,1,Pathology,HS,HS,HS/M_AVB_LLSB.wav
train/HS_segmented/M_AVB_LLSB_seg_6.wav,1,Pathology,HS,HS,HS/M_AVB_LLSB.wav
train/MIX_segmented/L0106_seg_0.wav,1,Pathology,MIX,LS,MIX/L0106.wav
train/MIX_segmented/L0106_seg_1.wav,1,Pathology,MIX,LS,MIX/L0106.wav
train/MIX_segmented/L0106_seg_2.wav,1,Pathology,MIX,LS,MIX/L0106.wav
train/MIX_segmented/L0106_seg_3.wav,1,Pathology,MIX,LS,MIX/L0106.wav
train/MIX_segmented/L0106_seg_4.wav,1,Pathology,MIX,LS,MIX/L0106.wav
train/MIX_segmented/L0106_seg_5.wav,1,Pathology,MIX,LS,MIX/L0106.wav
train/MIX_segmented/L0106_seg_6.wav,1,Pathology,MIX,LS,MIX/L0106.wav
train/MIX_segmented/H0087_seg_0.wav,1,Pathology,MIX,HS,MIX/H0087.wav
train/MIX_segmented/H0087_seg_1.wav,1,Pathology,MIX,HS,MIX/H0087.wav
train/MIX_segmented/H0087_seg_2.wav,1,Pathology,MIX,HS,MIX/H0087.wav
train/MIX_segmented/H0087_seg_3.wav,1,Pathology,MIX,HS,MIX/H0087.wav
train/MIX_segmented/H0087_seg_4.wav,1,Pathology,MIX,HS,MIX/H0087.wav
train/MIX_segmented/H0087_seg_5.wav,1,Pathology,MIX,HS,MIX/H0087.wav
train/MIX_segmented/H0087_seg_6.wav,1,Pathology,MIX,HS,MIX/H0087.wav
train/MIX_segmented/L0139_seg_0.wav,1,Pathology,MIX,LS,MIX/L0139.wav
train/MIX_segmented/L0139_seg_1.wav,1,Pathology,MIX,LS,MIX/L0139.wav
train/MIX_segmented/L0139_seg_2.wav,1,Pathology,MIX,LS,MIX/L0139.wav
train/MIX_segmented/L0139_seg_3.wav,1,Pathology,MIX,LS,MIX/L0139.wav
train/MIX_segmented/L0139_seg_4.wav,1,Pathology,MIX,LS,MIX/L0139.wav
train/MIX_segmented/L0139_seg_5.wav,1,Pathology,MIX,LS,MIX/L0139.wav
train/MIX_segmented/L0139_seg_6.wav,1,Pathology,MIX,LS,MIX/L0139.wav
train/LS_segmented/M_N_LLA_seg_0.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_1.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_2.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_3.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_4.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_5.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_6.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_7.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_8.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_9.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_10.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_11.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_12.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_13.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_14.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_15.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_16.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_17.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_18.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_19.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_20.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_21.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_22.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_23.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_24.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_25.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/LS_segmented/M_N_LLA_seg_26.wav,0,Normal,LS,LS,LS/M_N_LLA.wav
train/MIX_segmented/H0085_seg_0.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_1.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_2.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_3.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_4.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_5.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_6.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_7.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_8.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_9.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_10.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_11.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_12.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_13.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_14.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_15.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_16.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_17.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_18.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_19.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_20.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_21.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_22.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_23.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_24.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_25.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/H0085_seg_26.wav,0,Normal,MIX,HS,MIX/H0085.wav
train/MIX_segmented/L0073_seg_0.wav,1,Pathology,MIX,LS,MIX/L0073.wav
train/MIX_segmented/L0073_seg_1.wav,1,Pathology,MIX,LS,MIX/L0073.wav
train/MIX_segmented/L0073_seg_2.wav,1,Pathology,MIX,LS,MIX/L0073.wav
train/MIX_segmented/L0073_seg_3.wav,1,Pathology,MIX,LS,MIX/L0073.wav
train/MIX_segmented/L0073_seg_4.wav,1,Pathology,MIX,LS,MIX/L0073.wav
train/MIX_segmented/L0073_seg_5.wav,1,Pathology,MIX,LS,MIX/L0073.wav
train/MIX_segmented/L0073_seg_6.wav,1,Pathology,MIX,LS,MIX/L0073.wav
train/MIX_segmented/L0007_seg_0.wav,1,Pathology,MIX,LS,MIX/L0007.wav
train/MIX_segmented/L0007_seg_1.wav,1,Pathology,MIX,LS,MIX/L0007.wav
train/MIX_segmented/L0007_seg_2.wav,1,Pathology,MIX,LS,MIX/L0007.wav
train/MIX_segmented/L0007_seg_3.wav,1,Pathology,MIX,LS,MIX/L0007.wav
train/MIX_segmented/L0007_seg_4.wav,1,Pathology,MIX,LS,MIX/L0007.wav
train/MIX_segmented/L0007_seg_5.wav,1,Pathology,MIX,LS,MIX/L0007.wav
train/MIX_segmented/L0007_seg_6.wav,1,Pathology,MIX,LS,MIX/L0007.wav
train/MIX_segmented/L0083_seg_0.wav,1,Pathology,MIX,LS,MIX/L0083.wav
train/MIX_segmented/L0083_seg_1.wav,1,Pathology,MIX,LS,MIX/L0083.wav
train/MIX_segmented/L0083_seg_2.wav,1,Pathology,MIX,LS,MIX/L0083.wav
train/MIX_segmented/L0083_seg_3.wav,1,Pathology,MIX,LS,MIX/L0083.wav
train/MIX_segmented/L0083_seg_4.wav,1,Pathology,MIX,LS,MIX/L0083.wav
train/MIX_segmented/L0083_seg_5.wav,1,Pathology,MIX,LS,MIX/L0083.wav
train/MIX_segmented/L0083_seg_6.wav,1,Pathology,MIX,LS,MIX/L0083.wav
train/MIX_segmented/L0027_seg_0.wav,1,Pathology,MIX,LS,MIX/L0027.wav
train/MIX_segmented/L0027_seg_1.wav,1,Pathology,MIX,LS,MIX/L0027.wav
train/MIX_segmented/L0027_seg_2.wav,1,Pathology,MIX,LS,MIX/L0027.wav
train/MIX_segmented/L0027_seg_3.wav,1,Pathology,MIX,LS,MIX/L0027.wav
train/MIX_segmented/L0027_seg_4.wav,1,Pathology,MIX,LS,MIX/L0027.wav
train/MIX_segmented/L0027_seg_5.wav,1,Pathology,MIX,LS,MIX/L0027.wav
train/MIX_segmented/L0027_seg_6.wav,1,Pathology,MIX,LS,MIX/L0027.wav
train/MIX_segmented/H0052_seg_0.wav,1,Pathology,MIX,HS,MIX/H0052.wav
train/MIX_segmented/H0052_seg_1.wav,1,Pathology,MIX,HS,MIX/H0052.wav
train/MIX_segmented/H0052_seg_2.wav,1,Pathology,MIX,HS,MIX/H0052.wav
train/MIX_segmented/H0052_seg_3.wav,1,Pathology,MIX,HS,MIX/H0052.wav
train/MIX_segmented/H0052_seg_4.wav,1,Pathology,MIX,HS,MIX/H0052.wav
train/MIX_segmented/H0052_seg_5.wav,1,Pathology,MIX,HS,MIX/H0052.wav
train/MIX_segmented/H0052_seg_6.wav,1,Pathology,MIX,HS,MIX/H0052.wav
train/MIX_segmented/H0090_seg_0.wav,1,Pathology,MIX,HS,MIX/H0090.wav
train/MIX_segmented/H0090_seg_1.wav,1,Pathology,MIX,HS,MIX/H0090.wav
train/MIX_segmented/H0090_seg_2.wav,1,Pathology,MIX,HS,MIX/H0090.wav
train/MIX_segmented/H0090_seg_3.wav,1,Pathology,MIX,HS,MIX/H0090.wav
